County,Median Age,% High School Graduate or Higher,% Bachelor s Degree or Higher,Unemployment Rate (%),Ethnicity: % Hispanic,Race: % White Alone,Race: % African American Alone,Race: % American Indian & Alaska Native Alone,Race: % Asian Alone,Race: % Native Hawaiian and Other Pacific Islander Alone,Race: % Multi-Racial,Votes,Percent_Voted,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Gini.Coefficient,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.obesity,Diabetes,Sexually.transmitted.infections,Uninsured,Violent.crime,Injury.deaths,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness,LEN_SEC,LN_MILES,DVMT,DTRKVMT,% lt_10,% 10_19,% 20_29,% 30_39,% 40_49,% 50-59,% 60_69,% 70_79,% 80_89,% over_90,nursing home capacity,prison capacity and jail employees,military installation,hospital beds,Life Expectancy,Age-Adjusted Death Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Enrolled in Free or Reduced Lunch,Segregation Index,% Homeowners,Years of Potential Life Lost Rate_x,% With Access to Exercise Opportunities,% Flu Vaccinated,Income inequality,Percent Urban,Percent Rural,Enplanements,Number,customs_Y,hub_Y,Total Market Value,Total Actual Levy,Total County Tax Rate,Total Appraised Value (Total Taxable Value for FM/FC),Total Appraised Value (Total Taxable Value for County Tax Purposes),Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty,Population,Population Density,school,work,shelter_enforcement,shelter,event,testing,transport,Short,Score,Years of Potential Life Lost Rate_y,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% Smokers,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,% Alcohol-Impaired,Chlamydia Rate,PCP Rate,Dentist Rate,MHP Rate,Preventable Hosp. Rate,% Receiving HbA1c,% Mammography,Graduation Rate,% Some College,Labor Force,Association Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone,% Long Commute - Drives Alone,Yes,Policy Score
Anderson,39.1,80.2,11.8,3.6,17.82,75.11,21.49,0.68,0.9,0.14,1.67,16887.0,0.293605258,77.95937704,19.88511873,0.337537751,1.817966483,35.9,0.465,23.6,24.15,24.5,0.8,13.2,13.75,0.09,70.7,0.36,0.34,0.115,317.3,0.264,311.56,93.1,0.229050967,-0.948391126,0.711661717,5.46252e-06,5.46252e-06,7.36841e-05,0.000422619,-0.470898281,1563.0540000000015,3241.985000000004,1771161.086000009,217583.74800000078,0.098611370148697,0.11246375828684786,0.13899862662981738,0.16792417640177013,0.15124027196120654,0.12602790823852558,0.10139202088879093,0.06719340782312347,0.03009545770528493,0.006053001915936182,639.0,17730.0,0.0,156.0,73.4,569.0,20.0,35,59.0,31.0,71,10927.0,26,43.0,4.3,32.94,67.06,13.0,1.0,0.0,0.0,4058915351.0,15833018.0,0.590892,2675103554.0,2679692570.0,34242.0,1987998000.0,45969.0,44146.0,19.8,22.6,57735,55.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10118.882607,19.529584587000002,3.9261302641,3.6428470452,18.465774675,5.7,26.5,34.344315576999996,18.561601613,21.052631579,355.7,34.73428,36.373709999999996,41.569959999999995,57.09,84.203655352,58.681318681,91.1,38.247692226,23751,10.593956235,9.2,15.352197470999998,85.212329123,24.3,0,3.0
Andrews,31.8,73.8,10.6,3.1,56.19,94.22,1.94,1.47,0.75,0.02,1.61,4926.0,0.350854701,79.67925294,16.97117337,0.365408039,2.984165652,38.4,0.531,20.9,16.5,24.25,1.1,18.45,18.85,0.1,82.4,0.282,0.303,0.099,479.1,0.271,536.37,79.8,0.827518773,-1.081740945,0.821885627,4.48729e-05,4.48729e-05,0.000108702,0.000621744,-0.052598594000000005,681.3479999999994,1440.7029999999993,1817432.2140000009,340429.0900000005,0.16966484634329154,0.16297248099368242,0.15590534318449512,0.15328193596744832,0.11178927079987153,0.1023664203876218,0.07661419852232572,0.04031480886604562,0.02216511403790556,0.004925580897312346,90.0,0.0,0.0,34.0,77.5,372.0,39.0,32,40.0,10.0,73,7138.0,94,24.0,4.3,83.5,16.5,0.0,1.0,0.0,0.0,5154109977.0,28889823.0,0.6039,4877521855.0,4768535096.0,50011.0,906592000.0,84946.0,68340.0,10.7,14.0,18705,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,11.0,8133.116006199999,17.307709917,3.3028106698000004,3.1980569141000004,13.337848434000001,8.2,26.8,70.60733125899999,21.103098937000002,41.509433961999996,394.8,38.66335,22.52252,11.26126,58.24,76.774193548,50.485436893,95.7,41.641271223000004,8639,6.628003314,7.2,11.367837338,77.882532807,26.3,1,
Angelina,37.1,79.9,15.7,5.1,22.18,81.27,15.44,0.75,1.17,0.06,1.31,29870.0,0.35299818,72.53431537,25.23602277,0.354871108,1.87479076,51.3,0.452,27.75,18.0,23.15,0.7,11.45,18.9,0.09,72.7,0.396,0.318,0.11,438.0,0.252,350.84,65.2,0.620367004,-0.7934943259999999,0.479538497,2.9459e-05,2.9459e-05,6.013770000000001e-05,0.000468257,-0.6817316859999999,1522.1230000000046,3226.201000000011,4012089.436999995,747829.1190000024,0.13866742286256506,0.14599670618517346,0.1340648074427127,0.12375800277029457,0.119046320634332,0.1233653625922977,0.10451863404844744,0.07035893856271881,0.033025401638182066,0.007198403263276146,920.0,1399.0,0.0,470.0,76.1,462.0,19.0,35,67.0,37.0,66,8914.0,65,48.0,4.4,56.92,43.08,22.0,1.0,0.0,0.0,5548157129.0,18372078.0,0.437121,0.0,4202972959.0,38897.0,3387655000.0,46653.0,40464.0,17.9,26.7,86715,108.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8802.2025115,23.207340361,4.2239472614,4.0705456431,18.282138513,6.1,32.7,73.328646668,18.164063146,19.78021978,549.3,62.31942000000001,45.56276,123.01944,53.16,81.061806656,62.206896551999996,92.4,53.806966818,36713,11.104186732,9.3,16.634241245,81.825769131,14.8,1,3.0
Aransas,49.3,83.2,20.2,6.8,27.66,93.05,1.79,1.24,1.93,0.08,1.9,10467.0,0.439273124,73.85115124,23.48332856,0.39170727,2.273812936,67.9,0.47,31.05,19.6,23.6,1.65,13.25,10.9,0.09,72.6,0.378,0.278,0.121,457.8,0.266,186.09,102.4,-0.093289446,-0.7941468190000001,0.733924079,4.35288e-05,4.35288e-05,8.935690000000001e-05,0.000352795,-0.21667851,465.17899999999963,916.1569999999992,937527.2239999991,79097.64400000016,0.10183780138256618,0.10247007250042152,0.11153262518968134,0.10567357949755522,0.09783341763614904,0.13037430450177034,0.1557916034395549,0.1327347833417636,0.05239419996627887,0.009357612544258978,212.0,0.0,0.0,0.0,77.9,444.0,20.0,30,96.0,21.0,78,8770.0,81,42.0,5.3,72.74,27.26,34.0,1.0,0.0,0.0,3023164864.0,13196810.0,0.46602200000000005,2850101038.0,2828595246.0,48389.0,1151262000.0,46912.0,38613.0,19.9,34.7,23510,91.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,17.0,11303.977725,19.517677734,3.8590439561000003,3.7431002191000005,15.659176121,5.9,27.8,89.58459279700001,16.139097691,11.764705882000001,636.7,59.17160000000001,31.102990000000002,73.86959999999998,35.86,89.65517241399999,72.67080745300001,91.4,47.625300941000006,10016,7.8895463511,7.7,15.916230365999999,80.985463873,27.0,0,
Archer,44.3,90.1,21.8,3.4,8.68,95.58,1.03,1.42,0.43,0.03,1.5,4269.0,0.474596998,88.66245022,9.229327711,0.234246896,1.87397517,62.9,0.409,28.2,14.6,24.1,3.4,15.6,14.15,0.08,34.9,0.213,0.295,0.125,90.5,0.245,112.93,59.6,1.421797538,0.230078931,0.547123161,8.40015e-06,8.40015e-06,8.05821e-05,0.00042607,-0.653377726,782.1519999999996,1608.5039999999985,604312.7899999997,110647.6809999997,0.1065651760228354,0.12474891637593825,0.12432603869330795,0.1040279099270536,0.11565704619938685,0.14620995876942594,0.1400782323712866,0.08605560841526587,0.04471931493815414,0.007611798287345386,46.0,0.0,0.0,0.0,78.8,384.0,29.0,29,29.0,27.0,84,8253.0,23,46.0,4.4,11.01,88.99,0.0,1.0,0.0,0.0,1843359643.0,4355848.0,0.6642399999999999,651667245.0,656137785.0,50310.0,442022000.0,61190.0,38231.0,10.6,14.3,8553,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,16.0,7522.0656475,13.248280155,3.1949824026,3.405328592,14.030731015,7.4,24.8,22.763419483000003,19.842313585,57.894736842,1316.5,,,11.49029,51.79,86.50793650799999,72.88135593199999,98.5,62.716450216000005,4074,12.621916235999999,8.0,9.8950524738,87.06269077200001,21.1,1,
Armstrong,45.2,89.8,23.1,2.5,7.5,96.43,1.12,1.49,0.11,0.0,0.85,1017.0,0.519672969,90.85545723,6.882989184,0.491642085,1.769911504,0.0,0.375,33.5,23.05,22.7,0.8,8.15,11.75,0.08,48.4,0.358,0.269,0.113,315.7,0.262,0.0,74.0,1.301241871,0.13593639400000002,0.806203917,3.721320000000001e-05,3.721320000000001e-05,9.94044e-05,0.000591723,-0.132098703,658.9599999999988,1388.7319999999975,1039298.5099999991,394756.2909999999,0.09137577002053388,0.11088295687885012,0.11190965092402463,0.0924024640657084,0.10215605749486653,0.12782340862422994,0.15503080082135526,0.12525667351129366,0.06570841889117042,0.017453798767967144,66.0,0.0,0.0,0.0,77.4,348.0,23.0,29,43.0,26.0,80,8381.5,3,26.0,3.7,0.0,100.0,0.0,0.0,0.0,0.0,793708310.0,1194580.0,0.6416310000000001,185634300.0,186447300.0,47995.0,90807000.0,57210.0,38485.0,10.7,15.3,1887,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,15.0,,11.754162254,2.9602024512000003,3.2779770793000003,12.559902118,6.3,26.4,2.5249868490000003,20.067384297,28.571428571,1688.0,0.0,0.0,,,83.333333333,,96.2,70.798898072,973,20.544427324,6.8,6.766917293200001,70.054644809,46.8,0,
Atascosa,35.6,75.3,14.3,4.2,64.47,95.65,1.18,1.23,0.63,0.12,1.19,13605.0,0.307687089,63.19735391,34.06835722,0.477765527,2.256523337,55.4,0.429,24.4,16.1,24.2,1.5,18.7,15.1,0.09,69.7,0.35200000000000004,0.308,0.102,335.7,0.266,189.97,60.0,0.007028384,-1.157331042,0.759771073,1.97742e-05,1.97742e-05,0.000103928,0.000310983,-0.26899669,1480.8009999999977,3116.9779999999932,4784451.310000023,1055893.2759999952,0.14480520773196906,0.14219736030099736,0.14502418728724145,0.13309975514104275,0.11394899767085385,0.11635777277885055,0.10367686580534707,0.06768458981147851,0.027233093782971358,0.005972169689248104,426.0,0.0,0.0,67.0,78.3,380.0,20.0,33,63.0,25.0,75,7754.0,41,36.0,4.4,39.29,60.71,0.0,1.0,0.0,0.0,5523291628.0,24330881.0,0.5999,4127088068.0,4041822713.0,36660.0,1844379000.0,50594.0,51710.0,15.7,23.9,51153,36.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.985,13.0,8907.9181995,22.392609353,3.9503035011,3.5450306335,14.34795536,8.6,33.3,42.265814610999996,17.907732665999998,14.705882353,454.2,22.71085,36.88751,36.88751,68.3,82.394366197,49.693251534,94.1,44.854368932,21133,7.8455662228,8.8,16.622691293,78.4,46.9,0,2.0
Austin,41.1,82.4,21.0,4.3,27.14,87.51,9.5,0.82,0.72,0.04,1.41,12255.0,0.445766041,78.63729090000002,18.92288862,0.416156671,2.023663811,34.4,0.452,29.55,19.35,22.2,0.85,10.95,17.05,0.07,43.0,0.269,0.308,0.103,188.4,0.234,233.82,69.1,0.86007759,0.053106672,0.507504199,2.3972e-05,2.3972e-05,6.24048e-05,0.000285312,-0.667859955,1062.4109999999962,2179.200999999991,3398560.5209999937,839543.0310000007,0.12458735398679532,0.12877729812087355,0.11703275774504825,0.11154139156932454,0.11379507364144235,0.13318943626206195,0.13623666835957338,0.09109954291518538,0.03517013712544439,0.008570340274250889,275.0,0.0,0.0,32.0,78.9,339.0,19.0,30,54.0,15.0,76,7371.0,26,40.0,4.7,33.66,66.34,0.0,1.0,0.0,0.0,6346953623.0,32796585.0,0.5479,6025975830.0,5978902920.0,50702.0,1520493000.0,59942.0,47874.0,10.2,16.9,30032,43.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,7.0,7121.211247600001,16.912531587,3.4289316921,3.5674023149000003,14.460404772,7.7,26.3,66.203328993,18.329945849,18.181818182,271.3,23.67825,36.96485,26.88353,46.36,87.83185840700001,51.988636363999994,95.7,60.01545595100001,14128,12.853905219000001,9.3,12.285581827,79.537580961,39.6,1,3.0
Bailey,33.0,67.6,10.7,4.3,64.29,92.54,1.95,3.28,0.85,0.13,1.26,1784.0,0.26382727,75.28026906,22.25336323,0.280269058,2.186098655,49.7,0.4270000000000001,28.6,16.4,22.1,14.0,4.7,14.2,0.09,107.8,0.188,0.289,0.097,193.2,0.325,303.86,91.1,-0.003388345,-0.795919095,0.923399474,0.000137445,0.000137445,0.000140197,0.001180544,0.61194114,1085.733,2210.1220000000008,447064.0949999999,96572.66600000004,0.16631842875052236,0.17091516924362726,0.1310767516367182,0.12104749965176208,0.11004318150160187,0.10683939267307424,0.09207410502855552,0.05836467474578633,0.03370943028276919,0.00961136648558295,74.0,0.0,0.0,25.0,77.7,371.0,28.0,33,83.0,26.0,78,9062.0,82,41.0,3.6,71.25,28.75,0.0,1.0,0.0,0.0,475152988.0,3213386.0,0.9312,341837046.0,345612009.0,42507.0,298694000.0,45051.0,39757.0,15.8,26.1,7000,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6889.004248899999,27.307110656,4.5163915259,3.968838134,17.524286588,8.7,27.7,83.251919051,15.610759435,33.333333333,318.4,41.60888,41.77691,,61.88,83.333333333,57.894736842,95.8,43.183023873,2707,16.643550624,7.0,23.333333333000002,77.499206601,21.1,0,
Bandera,52.5,86.8,24.0,3.6,18.8,95.51,0.99,1.25,0.61,0.04,1.58,10213.0,0.502830978,79.88837756,16.90002937,0.64623519,2.565357877,38.7,0.452,37.95,20.25,20.15,1.55,14.85,5.3,0.09,36.3,0.256,0.29,0.13,107.1,0.264,83.84,74.0,1.332075428,-0.467930473,0.939665415,9.48316e-05,9.48316e-05,9.05536e-05,0.000670817,0.308167958,642.638999999999,1309.129999999998,534583.1320000035,36519.23599999977,0.08823658847863397,0.0919772917308454,0.09813845002860537,0.08656427408352771,0.0991066320468248,0.1641068520881926,0.1883114025436782,0.12850415878185098,0.04585662104475642,0.009197729173084541,180.0,0.0,0.0,0.0,79.6,338.0,22.0,30,51.0,25.0,84,7556.0,58,39.0,4.3,0.0,100.0,0.0,0.0,0.0,0.0,4057373950.0,15112588.0,0.6769,2276632497.0,2226126149.0,43459.0,991906000.0,53008.0,35860.0,13.4,22.8,23112,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74,16.0,5787.9243644,15.91128044,3.4847781725,3.6100142098,13.679915556,6.9,25.1,61.952648278999995,17.02804253,37.5,95.7,28.21007,13.77663,50.51433,46.63,81.746031746,59.74025974,97.6,64.112903226,9402,10.813860548,8.2,11.901983664000001,82.402926944,54.7,1,6.0
